journal,attemptId,nodeId,unitKey,plannedPaths,scopePaths,executorId,outcome,changedFiles,tokensTotal,failureReason
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/c2-stability/run-1/run.events.v2.jsonl,820d370e-b6fd-4f6e-bcd6-5c809494dd02:attempt:node-category-breakdown-340a3a577f:1,node-category-breakdown-340a3a577f,,,4,codex-cli,candidate,4,55955,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/c2-stability/run-2/run.events.v2.jsonl,4b7c75b8-8cb6-46c9-bca4-3a999ad18783:attempt:node-expense-categories-095864ac3e:1,node-expense-categories-095864ac3e,,,4,codex-cli,candidate,5,59106,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/canonical-run/defects/empty-diff-misread-as-failure/run.events.v2.jsonl,5fe0aa27-2862-4af8-be04-be882995d727:attempt:node-expense-category-api-15ac52c6ab:1,node-expense-category-api-15ac52c6ab,,,3,codex-cli,failed,,,"empty_diff: ion shows the requested behavior appears already present; verification will determine whether any corrective edit is needed.
  ✓ Inspect current expense domain/API/tests and package script"
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/canonical-run/defects/empty-diff-misread-as-failure/run.events.v2.jsonl,5fe0aa27-2862-4af8-be04-be882995d727:attempt:node-expense-category-domain:expense-category-web-ca5ddc686e:1,node-expense-category-domain:expense-category-web-ca5ddc686e,,,4,codex-cli,candidate,4,,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/canonical-run/defects/silent-artifact-deadlock/run.events.v2.jsonl,0c0f066a-1795-4ea4-9ded-fdddc207a7fe:attempt:node-domain-category-totals:web-category-breakdown-9aed46bbd0:1,node-domain-category-totals:web-category-breakdown-9aed46bbd0,,,4,codex-cli,candidate,4,,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/canonical-run/series-a/run.events.v2.jsonl,a55525c7-871d-4357-830c-65efcc73ecc8:attempt:node-api-category-totals:web-category-breakdown-6aa2e8c3ec:1,node-api-category-totals:web-category-breakdown-6aa2e8c3ec,,,4,codex-cli,candidate,4,,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/canonical-run/series-a/run.events.v2.jsonl,a55525c7-871d-4357-830c-65efcc73ecc8:attempt:node-domain-category-model-and-totals-eb9abbf18e:1,node-domain-category-model-and-totals-eb9abbf18e,,,2,codex-cli,candidate,2,,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/canonical-run/series/g4-series-1/run.events.v2.jsonl,25727664-0e58-4876-b886-d02bb6bef0ca:attempt:node-api-category-totals-acb3154d4f:1,node-api-category-totals-acb3154d4f,,,3,codex-cli,candidate,3,26236,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/canonical-run/series/g4-series-1/run.events.v2.jsonl,25727664-0e58-4876-b886-d02bb6bef0ca:attempt:node-domain-category-model-and-totals-eb9abbf18e:1,node-domain-category-model-and-totals-eb9abbf18e,,,2,codex-cli,candidate,2,28373,
C:/Users/franc/Documents/Proyectos/Manyhands/docs/tesis/evidence/canonical-run/series/g4-series-1/run.events.v2.jsonl,25727664-0e58-4876-b886-d02bb6bef0ca:attempt:node-web-category-breakdown-3988b433c6:1,node-web-category-breakdown-3988b433c6,,,3,codex-cli,candidate,3,57297,
